FCH4_weekly,GPP,PA,TS,TA,P,WS,SWC
,0.731125,94161.98438,272.8827515,260.7303162,10.17091889,2.820733309,0.208600327
,0.7279425,95161.75,272.6722717,256.8206177,5.471242126,2.672601938,0.208259717
,0.7442575,95694.76563,272.42099,252.1240082,1.7028742,1.951845169,0.208475932
,0.73892,95272.5625,272.3017273,255.6585236,8.129387163,3.103246927,0.202675775
,0.72911125,95321.32031,272.1980896,253.6090851,4.266770091,2.980653048,0.201124474
,0.74901,95824.72656,272.0246277,253.4313049,4.265172873,1.859837413,0.199046344
,0.75736,95197.49219,271.9480591,256.7956848,5.257184617,2.282633305,0.196925655
,0.760655,96242.25,271.8183899,256.8008423,2.584662754,2.24941659,0.195330143
,0.71733,96239.24219,271.8301086,264.8338928,1.664535725,1.969296813,0.194984466
,0.64839,96218.21094,271.9827881,267.2821655,1.030350686,2.660368681,0.192220896
,0.66537875,94236.98438,272.0072021,267.066803,6.571880542,2.932896137,0.189869776
,0.62659,95291.375,271.918396,265.8577271,0.477635389,3.539692163,0.187661409
,0.7289825,96158.51563,271.8699646,267.2454224,3.252394032,2.003402948,0.185975701
,0.72141,94768.76563,271.650238,261.5800476,3.309901804,2.396128416,0.184850231
,0.5695225,95379.98438,271.61026,266.0287781,2.223640447,2.830610037,0.18518506
,0.466875,95739.55469,271.6417542,268.8805237,5.452073179,3.191065311,0.184412733
,0.4567175,95652.3125,271.898468,275.4317932,5.730027799,2.022125006,0.276844144
,0.4947675,95394.5,272.1600037,273.9231262,5.170923192,2.17323637,0.303826183
,0.60911375,95549.39063,272.2656555,272.0153198,1.230031135,3.00075841,0.265123516
,0.8134,95533.95313,272.2459412,272.717865,2.779550618,2.777133942,0.277775854
,1.6726325,95391.77344,272.3470764,273.9072266,3.249198897,2.184602261,0.273199737
,1.996455,95798.86719,272.4778137,277.255188,5.765172187,2.862255096,0.336697817
,2.201405,95574.1875,272.5469971,276.3139648,2.843448659,2.634598494,0.312551081
1.117688509,2.408405,95421.51563,272.6607361,278.7236023,5.228430964,2.679121733,0.337423354
1.634053222,2.83679375,94877.42188,274.1620789,281.4172974,8.15175008,2.349111557,0.357319444
2.257134931,3.43154,95564.75781,283.4955139,285.6815491,4.380188417,2.159758091,0.286699504
5.906943077,3.7856475,95813.0625,286.6604919,287.8600769,3.346642712,2.638653517,0.238216609
4.30457403,4.41976,95935.58594,287.0297546,287.6296997,4.327473231,1.948931575,0.255847573
4.357812062,4.57653375,95850.375,290.2520752,290.9196472,3.562297672,1.873306394,0.222426623
6.628025962,4.5478475,95990.21094,291.6243896,292.2034607,7.274754811,2.155018091,0.254886597
